boat_items
;
model,category,description;
FY550,WC VIP,Pia com bancada laqueada;
FY550,WC VIP,Painel de controle do vaso;
FY550,WC VIP,Piso de madeira CABINE HÓSPEDES;
FY550,CABINE HÓSPEDES,(2) Camas de solteiro;
FY550,CABINE HÓSPEDES,Gabinete com compartimento para armazenamento;
FY550,CABINE HÓSPEDES,Gavetas debaixo da cama;
FY550,CABINE HÓSPEDES,Carpete;
FY550,CABINE HÓSPEDES,Janela de costado com (2) vigias de aço inox;
FY550,CABINE HÓSPEDES,Espelho;
FY550,CABINE HÓSPEDES,Ventilação natural debaixo da cama;
FY550,CABINE HÓSPEDES,(2) Luzes de leitura;
FY550,CABINE HÓSPEDES,Persiana tipo Romana;
FY550,CABINE HÓSPEDES,Prateleiras;
FY550,CABINE HÓSPEDES,Guarda-roupas;
FY550,CABINE HÓSPEDES,Saída de ar-condicionado WC HÓSPEDES;
FY550,WC HÓSPEDES,Vaso sanitário cerâmico elétrico;
FY550,WC HÓSPEDES,Persianas;
FY550,WC HÓSPEDES,Janela de costado com vigia de aço inox;
FY550,WC HÓSPEDES,Armário;
FY550,WC HÓSPEDES,Espelhos;
FY550,WC HÓSPEDES,Chuveiro com box redondo de Plexiglass;
FY550,WC HÓSPEDES,Pia com bancada laqueada;
FY550,WC HÓSPEDES,Painel de controle do vaso;
FY550,WC HÓSPEDES,Piso de madeira POPA Área de armazenamento de popa;
FY550,Área de armazenamento de popa,Acesso ao deque principal por escada de aço inox e degraus de teca;
FY550,Área de armazenamento de popa,Tomadas 220 V Cabine de marinheiro com banheiro;
FY550,Cabine de marinheiro com banheiro,Acesso ao deque principal por escada de aço inox e degraus de teca;
FY550,Cabine de marinheiro com banheiro,Cama;
FY550,Cabine de marinheiro com banheiro,Vaso sanitário manual;
FY550,Cabine de marinheiro com banheiro,Espelho;
FY550,Cabine de marinheiro com banheiro,(2) vigias de aço inox;
FY550,Cabine de marinheiro com banheiro,Guarda-roupas;
FY550,Cabine de marinheiro com banheiro,Pia com água quente e fria e chuveiro retrátil ÁREA TECNICA Casa de máquinas;
FY550,Casa de máquinas,Acesso ao deque principal por escotilha e escada de aço inox;
FY550,Casa de máquinas,(2) Entrada de ar;
FY550,Casa de máquinas,Válvula de emergência para puxada de água do porão pelos motores;
FY550,Casa de máquinas,Bomba de porão de emergência;
FY550,Casa de máquinas,Ventiladores elétricos;
FY550,Casa de máquinas,Sistema automático de extinção de incêndio;
FY550,Casa de máquinas,Torneira de água doce;
FY550,Casa de máquinas,(2) tanques de combustível (tot. 2500 l);
FY550,Casa de máquinas,indicadores de nível de tanque de combustível;
FY550,Casa de máquinas,Filtros Racor para motores;
FY550,Casa de máquinas,Pré-filtros Racor para gerador;
FY550,Casa de máquinas,Filtro de água para sistema de arrefecimento do gerador;
FY550,Casa de máquinas,Filtro de água para sistema de arrefecimento dos motores;
FY550,Casa de máquinas,Aquecedor de água elétrico (30 l 230 V);
FY550,Casa de máquinas,Antepara de casa de máquinas estanque Propulsão e Equipamentos de Controle Propulsão e Controle;
"FY550,Propulsão e Controle,""Bow thruster de alta eficiência 8,7Hp""";
FY550,Propulsão e Controle,Sistema hidráulico de direção;
FY550,Propulsão e Controle,Propulsão em linha de eixo (eixo- pé de galinha);
FY550,Propulsão e Controle,Selo mecânico sem gotejamento e de baixa manutenção;
FY550,Propulsão e Controle,Mufla silenciadora de gases de exaustão abaixo do nível de água;
FY550,Propulsão e Controle,Sistema de estabilização;
FY550,Propulsão e Controle,Flaps de Intrusão Equipamentos Elétrico Comunicação;
FY550,Comunicação,VHF (posição no posto de comando principal);
FY550,Comunicação,Repetidor VHF (posição no posto de comando do flybridge) Navegação;
FY550,Navegação,Unidade de Controle de Piloto Automático (comando principal);
"FY550,Navegação,""Display touchscreen multifuncional para sistema de navegação (GPS, Chartplottel, dados de motores e da embarcação)""";
"FY550,Navegação,""Display repetidor touchscreen multifuncional para sistema de navegação (GPS, Chartplottel, dados de motores e da embarcação) SISTEMAS Sistema de Extinção de Incêndio""";
FY550,Sistema de Extinção de Incêndio,Sistema de extinção de incêndio FM200 com controle Automático/Manual;
FY550,Sistema de Extinção de Incêndio,Extintores portáteis;
FY550,Sistema de Extinção de Incêndio,Puxadores na casa de máquinas para desligamento de emergência dos motores e gerador e ativação manual do sistema de extinção de incêndio;
FY550,Sistema de Extinção de Incêndio,Sistema de detecção de fumaça Sistema Elétrico;
FY550,Sistema Elétrico,Relê de desligamento automático da bateria do bowthruster;
"FY550,Sistema Elétrico,""Carregador automático de bateria (24V) para baterias de serviço, e carga reduzida para baterias dos motores""";
FY550,Sistema Elétrico,Carregador de bateria para banco do gerador;
FY550,Sistema Elétrico,Chave de bateria motorizada na casa de máquinas com controle remoto no painel de comando;
FY550,Sistema Elétrico,Paralelo de baterias;
FY550,Sistema Elétrico,Caixa de disjuntores;
FY550,Sistema Elétrico,Tomada de cais 50 A para 240 V;
FY550,Sistema Elétrico,Isolador Galvânico 50 A;
FY550,Sistema Elétrico,Proteção Galvânica com anodos de zinco;
FY550,Sistema Elétrico,Gerador 21.5 kW;
FY550,Sistema Elétrico,Bateria 12v de arranque do gerador (baixa perda de água);
FY550,Sistema Elétrico,Aterramento de válvulas de casco e de guarda-corpos;
FY550,Sistema Elétrico,Tomadas tipo GFI (diferencial residual) 120V – 6mA;
"FY550,Sistema Elétrico,""Banco de bateria de serviço, de baixa perda de água, 24V""";
"FY550,Sistema Elétrico,""Banco de bateria de arranque dos motores, de baixa perda de água, 24V""";
FY550,Sistema Elétrico,Sistema de iluminação LED 24 V (exceto Casa de Máquinas);
FY550,Sistema Elétrico,Chave de bateria para banco dos geradores;
FY550,Sistema Elétrico,Instrumentos de medição de voltagem;
FY550,Sistema Elétrico,Preparação para TV e decoder em todas as cabines: cabo 120v + conectores + cabo de antenas de TV;
FY550,Sistema Elétrico,Interruptor GFI (Diferencial Residual) para tomada de cais;
FY550,Sistema Elétrico,Tomada de cais 50ª 120/240V Sistema de água de porão;
FY550,Sistema de água de porão,Bomba de porão auxiliar elétrica para praça de máquinas e espaço de acomodações;
FY550,Sistema de água de porão,Bombas de porão (2) elétrica para praça de máquinas e espaço de acomodações;
FY550,Sistema de água de porão,Tubulação de sucção de emergência através das bombas de água dos motores Sistemas sanitário e de água doce;
FY550,Sistemas sanitário e de água doce,Sistema automático de descarga de águas cinza;
FY550,Sistemas sanitário e de água doce,Sistema de águas negra com tanque de 120 l e conexão no deque para bombeamento externo;
FY550,Sistemas sanitário e de água doce,Sistema de vasos sanitários elétricos com água doce;
